0,1
야놀자(Yanolja),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=483
인터넷 대표주,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=49
일자리(취업),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=324
가상화폐(비트코인 등),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=331
건설 대표주,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=154
항공/저가 항공사(LCC),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=166
홈쇼핑,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=38
은행,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=165
게임,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=42
종합상사,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=325
통신,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=126
STO(증권형 토큰 발행),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=531
손해보험,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=164
SNS(소셜네트워크서비스),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=317
K-뉴딜지수(인터넷),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=459
NFT(대체불가토큰),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=492
음원/음반,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=98
증권,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=151
카카오뱅크(kakao BANK),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=489
모바일게임(스마트폰),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=265
창투사,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=119
반도체 대표주(생산),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=155
K-뉴딜지수(게임),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=460
케이블TV SO/MSO,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=70
애플페이,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=521
SI(시스템통합),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=17
아이폰,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=388
환율하락 수혜,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=31
지주사,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=111
모더나(MODERNA),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=467
공작기계,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=297
테마파크,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=181
UAM(도심항공모빌리티),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=462
리츠(REITs),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=310
두나무(Dunamu),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=482
렌터카,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=525
메타버스(Metaverse),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=480
모듈러주택,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=524
페인트,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=330
편의점,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=384
마이크로 LED,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=390
소매유통,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=136
블록체인,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=387
스마트홈(홈네트워크),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=104
태풍 및 장마,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=82
소모성자재구매대행(MRO),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=312
삼성페이,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=348
종합 물류,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=141
제지,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=63
무선충전기술,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=321
골판지 제조,https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=170
토스(toss),https://finance.naver.com/sise/sise_group_detail.naver?type=theme&no=497
